scheme,init_time_sec,storage_mb,embed_time_sec,detect_time_sec,trace_time_sec,group_bits,user_bits
naive,0.0895540400524623,0.0,5.63977300420972,1.8631534364764424,0.0004290447895958,,
hierarchical_G1_U7,0.194125302019529,7.05718994140625e-05,4.974112671457134,1.8258872081253017,0.0005555159075108,1.0,7.0
hierarchical_G2_U6,0.101189651992172,0.0001468658447265,4.728140173360705,1.7682488433892334,0.0003500829518695,2.0,6.0
hierarchical_G3_U5,0.0686028119525872,0.0003013610839843,4.704049469041133,1.7458394373111854,0.0002487331582039,3.0,5.0
hierarchical_G4_U4,0.0815213330206461,0.0006141662597656,4.706900803224086,1.765915672247686,0.00021596438915,4.0,4.0
hierarchical_G5_U3,0.0736895620357245,0.0012474060058593,4.7399184152386535,1.7843744191346729,0.0001968881435071,5.0,3.0
hierarchical_G6_U2,0.0582696570199914,0.0025291442871093,4.806477522830983,1.7734445423637129,0.0002093360237777,6.0,2.0
hierarchical_G7_U1,0.0541351650026626,0.0051231384277343,4.694355342238967,1.7626488366974324,0.0002265181952388,7.0,1.0
hierarchical_G8_U0,0.10233952500857413,0.010372161865234375,4.671398240206491,1.7714228991049847,0.0003074537482461892,8.0,0.0
