scheme,init_time_sec,init_memory_mb,storage_mb,num_groups,users_per_group,embed_time_sec,embed_overhead_percent,time_per_token_ms,detect_time_sec,hmac_operations,trace_time_sec,trace_comparisons,max_users,max_groups,max_users_per_group,group_bits,user_bits
naive,0.03176099999109283,0.734375,0.0,0,0.0,21.518560552999116,38.512216691127136,43.81574392774679,4.914533539999829,16.0,0.00043487300019478425,128.0,256,,,,
hierarchical_G8_U0,0.2234461000043666,3.0,0.0093994140625,128,1.0,20.677053748000034,87.46709335749702,43.80535714293283,4.733034519000066,16.0,0.0005589969994616694,128.0,256,256.0,1.0,8.0,0.0
