scheme,model,run_tag,l_bits,group_bits,user_bits,num_prompts,num_attack_variants_per_prompt,total_attack_results,random_seed,generated_utc,rewrite_ratio,rewrite_mode,num_results,group_accuracy,user_accuracy,full_identity_accuracy,lbit_accuracy,false_positive_rate,false_negative_rate,avg_invalid_symbols,avg_hamming_distance,avg_z_score
hi_dypa,gpt2,results,8,1.0,7.0,300,16,4800,1026621429,2025-12-21T04:53:19.391229Z,0.05,end,300,0.54,0.47530864197530864,0.25666666666666665,0.12666666666666668,0.28,0.4633333333333333,3.04,0.0033333333333333335,4.26080041619881
hi_dypa,gpt2,results,8,1.0,7.0,300,16,4800,1026621429,2025-12-21T04:53:19.391229Z,0.05,middle,300,0.49333333333333335,0.42567567567567566,0.21,0.08666666666666667,0.2733333333333333,0.5166666666666667,3.29,0.013333333333333334,4.177365042495891
hi_dypa,gpt2,results,8,1.0,7.0,300,16,4800,1026621429,2025-12-21T04:53:19.391229Z,0.05,random,300,0.5233333333333333,0.36942675159235666,0.19333333333333333,0.09,0.32666666666666666,0.48,3.263333333333333,0.0033333333333333335,4.246173491895367
hi_dypa,gpt2,results,8,1.0,7.0,300,16,4800,1026621429,2025-12-21T04:53:19.391229Z,0.05,start,300,0.6133333333333333,0.47282608695652173,0.29,0.14,0.32,0.39,2.62,0.0,4.498839252667412
hi_dypa,gpt2,results,8,1.0,7.0,300,16,4800,1026621429,2025-12-21T04:53:19.391229Z,0.1,end,300,0.54,0.47530864197530864,0.25666666666666665,0.12666666666666668,0.28,0.4633333333333333,3.04,0.0033333333333333335,4.26080041619881
hi_dypa,gpt2,results,8,1.0,7.0,300,16,4800,1026621429,2025-12-21T04:53:19.391229Z,0.1,middle,300,0.49333333333333335,0.42567567567567566,0.21,0.08666666666666667,0.2733333333333333,0.5166666666666667,3.29,0.013333333333333334,4.177365042495891
hi_dypa,gpt2,results,8,1.0,7.0,300,16,4800,1026621429,2025-12-21T04:53:19.391229Z,0.1,random,300,0.55,0.3696969696969697,0.20333333333333334,0.1,0.3433333333333333,0.4533333333333333,3.1366666666666667,0.006666666666666667,4.244574380179583
hi_dypa,gpt2,results,8,1.0,7.0,300,16,4800,1026621429,2025-12-21T04:53:19.391229Z,0.1,start,300,0.6133333333333333,0.47282608695652173,0.29,0.14,0.32,0.39,2.62,0.0,4.498839252667412
hi_dypa,gpt2,results,8,1.0,7.0,300,16,4800,1026621429,2025-12-21T04:53:19.391229Z,0.15,end,300,0.5366666666666666,0.4782608695652174,0.25666666666666665,0.12666666666666668,0.27666666666666667,0.4666666666666667,3.066666666666667,0.0033333333333333335,4.254407361913298
hi_dypa,gpt2,results,8,1.0,7.0,300,16,4800,1026621429,2025-12-21T04:53:19.391229Z,0.15,middle,300,0.49666666666666665,0.4228187919463087,0.21,0.08666666666666667,0.27666666666666667,0.5133333333333333,3.276666666666667,0.013333333333333334,4.178401924256612
hi_dypa,gpt2,results,8,1.0,7.0,300,16,4800,1026621429,2025-12-21T04:53:19.391229Z,0.15,random,300,0.5366666666666666,0.422360248447205,0.22666666666666666,0.12,0.3,0.47333333333333333,3.1266666666666665,0.0,4.292385099056412
hi_dypa,gpt2,results,8,1.0,7.0,300,16,4800,1026621429,2025-12-21T04:53:19.391229Z,0.15,start,300,0.6133333333333333,0.47282608695652173,0.29,0.14,0.32,0.39,2.6233333333333335,0.0,4.497774131143178
hi_dypa,gpt2,results,8,1.0,7.0,300,16,4800,1026621429,2025-12-21T04:53:19.391229Z,0.2,end,300,0.5266666666666666,0.4620253164556962,0.24333333333333335,0.12333333333333334,0.28,0.4766666666666667,3.1666666666666665,0.0033333333333333335,4.2138395085838996
hi_dypa,gpt2,results,8,1.0,7.0,300,16,4800,1026621429,2025-12-21T04:53:19.391229Z,0.2,middle,300,0.49,0.40816326530612246,0.2,0.08666666666666667,0.28,0.52,3.3966666666666665,0.013333333333333334,4.141668123601376
hi_dypa,gpt2,results,8,1.0,7.0,300,16,4800,1026621429,2025-12-21T04:53:19.391229Z,0.2,random,300,0.5366666666666666,0.39751552795031053,0.21333333333333335,0.13,0.31666666666666665,0.47,3.3066666666666666,0.0033333333333333335,4.212801718645806
hi_dypa,gpt2,results,8,1.0,7.0,300,16,4800,1026621429,2025-12-21T04:53:19.391229Z,0.2,start,300,0.6133333333333333,0.45108695652173914,0.27666666666666667,0.12666666666666668,0.3333333333333333,0.39,2.7133333333333334,0.0,4.468088981841829
hi_dypa,gpt2,results,8,2.0,6.0,300,16,4800,1061249670,2025-12-21T12:20:27.873299Z,0.05,end,300,0.71,0.38497652582159625,0.2733333333333333,0.09666666666666666,0.4166666666666667,0.31,3.506666666666667,0.0033333333333333335,4.125798395538771
hi_dypa,gpt2,results,8,2.0,6.0,300,16,4800,1061249670,2025-12-21T12:20:27.873299Z,0.05,middle,300,0.7633333333333333,0.37117903930131,0.2833333333333333,0.07,0.4633333333333333,0.25333333333333335,3.37,0.0033333333333333335,4.199969546955004
