scheme,model,run_tag,l_bits,group_bits,user_bits,num_prompts,num_attack_variants_per_prompt,total_attack_results,random_seed,generated_utc,0.05_full_identity_accuracy,0.05_false_positive_rate,0.1_full_identity_accuracy,0.1_false_positive_rate,0.15_full_identity_accuracy,0.15_false_positive_rate,0.2_full_identity_accuracy,0.2_false_positive_rate
hierarchical,gpt2,job_8104043,8,1.0,7.0,300,16,4800,2068790386,2026-01-02T03:44:17.277142Z,0.23333333333333334,0.36583333333333334,0.2375,0.3666666666666667,0.23333333333333334,0.37416666666666665,0.23083333333333333,0.3616666666666667
hierarchical,gpt2,job_8104043,8,2.0,6.0,300,16,4800,2093911763,2026-01-02T10:38:08.316211Z,0.31666666666666665,0.44666666666666666,0.325,0.44,0.32166666666666666,0.4375,0.3041666666666667,0.45
hierarchical,gpt2,job_8104043,8,3.0,5.0,300,16,4800,2118740642,2026-01-02T17:29:02.709344Z,0.3625,0.45083333333333336,0.35916666666666663,0.45166666666666666,0.3575,0.45416666666666666,0.35250000000000004,0.45499999999999996
hierarchical,gpt2,job_8104043,8,4.0,4.0,300,16,4800,2143395426,2026-01-03T00:25:33.445718Z,0.36,0.4816666666666667,0.36916666666666664,0.4816666666666667,0.3591666666666667,0.4916666666666667,0.3408333333333333,0.5075000000000001
hierarchical,gpt2,job_8104043,8,5.0,3.0,300,16,4800,20903070,2026-01-03T07:15:45.249068Z,0.42666666666666664,0.42583333333333334,0.41083333333333333,0.44666666666666666,0.41833333333333333,0.4375,0.4033333333333333,0.43833333333333335
hierarchical,gpt2,job_8104043,8,6.0,2.0,300,16,4800,45512837,2026-01-03T14:11:27.009518Z,0.36916666666666664,0.4141666666666667,0.37166666666666665,0.4066666666666667,0.38,0.395,0.3666666666666667,0.4083333333333333
hierarchical,gpt2,job_8104043,8,7.0,1.0,300,16,4800,70456145,2026-01-03T21:23:17.917174Z,0.35916666666666663,0.18583333333333332,0.3625,0.19,0.36083333333333334,0.19833333333333333,0.355,0.19666666666666666
hierarchical,gpt2,job_8104043,8,8.0,0.0,300,16,4800,96373875,2026-01-04T04:09:12.697060Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
naive,gpt2,job_8104043,8,,,300,16,4800,2042962504,2026-01-01T20:45:36.977569Z,0.32666666666666666,0.6158333333333333,0.32,0.6266666666666667,0.31916666666666665,0.6308333333333334,0.30333333333333334,0.6441666666666667
