scheme,init_time_sec,init_memory_mb,storage_mb,num_groups,users_per_group,embed_time_sec,embed_overhead_percent,overhead_per_token_ms,time_per_token_ms,detect_time_sec,hmac_operations,trace_time_sec,trace_comparisons,max_users,max_groups,max_users_per_group,group_bits,user_bits
naive,0.0895540400524623,5.71875,0.0,0,0.0,5.63977300420972,-17.51411163986231,-1.436420567402635,11.700213719080644,1.8631534364764424,16.0,0.0004290447895958,128.0,256,,,,
hierarchical_G1_U7,0.194125302019529,2.03125,7.05718994140625e-05,1,128.0,4.974112671457134,-50.71213872276907,-4.401061260276247,10.318019068539272,1.8258872081253017,16.0,0.0005555159075108,128.0,256,2.0,128.0,1.0,7.0
hierarchical_G2_U6,0.101189651992172,1.6484375,0.0001468658447265,2,64.0,4.728140173360705,-21.779806940221533,-1.8687408722068888,9.859150224129897,1.7682488433892334,16.0,0.0003500829518695,128.0,256,4.0,64.0,2.0,6.0
hierarchical_G3_U5,0.0686028119525872,1.82421875,0.0003013610839843,4,32.0,4.704049469041133,-22.207741032224828,-1.9240291570050445,9.837642390668638,1.7458394373111854,16.0,0.0002487331582039,128.0,256,8.0,32.0,3.0,5.0
hierarchical_G4_U4,0.0815213330206461,1.6484375,0.0006141662597656,8,16.0,4.706900803224086,-17.75586019032646,-1.392160481436883,9.748895213734226,1.765915672247686,16.0,0.00021596438915,128.0,256,16.0,16.0,4.0,4.0
hierarchical_G5_U3,0.0736895620357245,1.7734375,0.0012474060058593,16,8.0,4.7399184152386535,-19.32555991683997,-1.6196687973334285,9.878648268487566,1.7843744191346729,16.0,0.0001968881435071,128.0,256,32.0,8.0,5.0,3.0
hierarchical_G6_U2,0.0582696570199914,1.8125,0.0025291442871093,32,4.0,4.806477522830983,-21.318306361174624,-1.8221070132748407,9.976870485330233,1.7734445423637129,16.0,0.0002093360237777,128.0,256,64.0,4.0,6.0,2.0
hierarchical_G7_U1,0.0541351650026626,1.73828125,0.0051231384277343,64,2.0,4.694355342238967,-19.887227196758964,-1.5478198395223417,9.716665461730004,1.7626488366974324,16.0,0.0002265181952388,128.0,256,128.0,2.0,7.0,1.0
hierarchical_G8_U0,0.10233952500857413,1.4375,0.010372161865234375,128,1.0,4.671398240206491,-21.9977883834417,-1.7120086827040242,9.663919455645127,1.7714228991049847,16.0,0.0003074537482461892,128.0,256,256.0,1.0,8.0,0.0
