scheme,init_time_sec,init_memory_mb,storage_mb,num_groups,users_per_group,embed_time_sec,embed_overhead_percent,time_per_token_ms,detect_time_sec,hmac_operations,trace_time_sec,trace_comparisons,max_users,max_groups,max_users_per_group,group_bits,user_bits
naive,0.041243200001190417,0.734375,0.0,0,0.0,20.842024568000344,14.814195725772551,43.48437630325272,4.730826116999742,16.0,0.0004269089997978881,128.0,256,,,,
hierarchical_G6_U2,0.07346929999766871,0.08984375,0.002288818359375,32,4.0,21.663250101999655,50.681629151220456,43.764318317801205,4.908053102000195,16.0,0.00044539900016388857,128.0,256,64.0,4.0,6.0,2.0
