scheme,model,run_tag,l_bits,group_bits,user_bits,num_prompts,num_attack_variants_per_prompt,total_attack_results,random_seed,generated_utc,0.05_full_identity_accuracy,0.05_false_positive_rate,0.1_full_identity_accuracy,0.1_false_positive_rate,0.15_full_identity_accuracy,0.15_false_positive_rate,0.2_full_identity_accuracy,0.2_false_positive_rate
hi_dypa,gpt2,job_7963211,8,1.0,7.0,300,16,4800,1019206041,2025-12-20T22:23:08.444378Z,0.8200000000000001,0.06416666666666666,0.7666666666666666,0.09833333333333334,0.6933333333333334,0.14333333333333334,0.6008333333333333,0.19833333333333333
hi_dypa,gpt2,job_7963211,8,2.0,6.0,300,16,4800,1037841200,2025-12-21T03:46:57.079518Z,0.8633333333333333,0.06833333333333333,0.8266666666666667,0.09833333333333333,0.7575000000000001,0.145,0.6783333333333333,0.1975
hi_dypa,gpt2,job_7963211,8,3.0,5.0,300,16,4800,1057270111,2025-12-21T09:05:45.549100Z,0.865,0.08083333333333334,0.8191666666666667,0.11583333333333333,0.7775,0.14916666666666667,0.6883333333333334,0.22333333333333333
hi_dypa,gpt2,job_7963211,8,4.0,4.0,300,16,4800,1076398285,2025-12-21T14:23:46.990932Z,0.8808333333333334,0.0675,0.86,0.08499999999999999,0.8183333333333334,0.11666666666666667,0.7575000000000001,0.16583333333333333
hi_dypa,gpt2,job_7963211,8,5.0,3.0,300,16,4800,1095479972,2025-12-21T19:36:06.070929Z,0.8291666666666667,0.10083333333333333,0.8033333333333333,0.11499999999999999,0.7466666666666667,0.16166666666666668,0.6983333333333334,0.1925
hi_dypa,gpt2,job_7963211,8,6.0,2.0,300,16,4800,1114219365,2025-12-22T00:41:37.198164Z,0.84,0.0775,0.8116666666666666,0.0925,0.7641666666666667,0.12083333333333333,0.7216666666666667,0.13833333333333334
hi_dypa,gpt2,job_7963211,8,7.0,1.0,300,16,4800,1132550331,2025-12-22T05:56:31.067340Z,0.8533333333333333,0.0275,0.8258333333333333,0.03166666666666667,0.7825,0.05666666666666667,0.7166666666666667,0.0825
hi_dypa,gpt2,job_7963211,8,8.0,0.0,300,16,4800,1151443798,2025-12-22T11:02:17.087667Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
naive,gpt2,job_7963211,8,,,300,16,4800,1000648083,2025-12-20T17:12:33.078648Z,0.8674999999999999,0.10916666666666666,0.825,0.14833333333333334,0.7666666666666667,0.20500000000000002,0.6675,0.2966666666666667
