scheme,model,run_tag,l_bits,group_bits,user_bits,num_prompts,num_attack_variants_per_prompt,total_attack_results,random_seed,generated_utc,synonym_ratio,synonym_mode,num_results,group_accuracy,user_accuracy,full_identity_accuracy,lbit_accuracy,false_positive_rate,false_negative_rate,avg_invalid_symbols,avg_hamming_distance,avg_z_score
hi_dypa,gpt2,job_7963211,8,2.0,6.0,300,16,4800,1037841200,2025-12-21T03:46:57.079518Z,0.1,end,300,0.93,0.9032258064516129,0.84,0.7533333333333333,0.08666666666666667,0.07333333333333333,0.8266666666666667,0.0,6.097282997983694
hi_dypa,gpt2,job_7963211,8,2.0,6.0,300,16,4800,1037841200,2025-12-21T03:46:57.079518Z,0.1,middle,300,0.92,0.9166666666666666,0.8433333333333334,0.7566666666666667,0.07,0.08666666666666667,0.8066666666666666,0.0,6.04934268147274
hi_dypa,gpt2,job_7963211,8,2.0,6.0,300,16,4800,1037841200,2025-12-21T03:46:57.079518Z,0.1,random,300,0.9233333333333333,0.8194945848375451,0.7566666666666667,0.6033333333333334,0.16333333333333333,0.08,1.09,0.0,5.600160442027544
hi_dypa,gpt2,job_7963211,8,2.0,6.0,300,16,4800,1037841200,2025-12-21T03:46:57.079518Z,0.1,start,300,0.9466666666666667,0.9154929577464789,0.8666666666666667,0.8,0.07333333333333333,0.06,0.67,0.0,6.35676886126558
hi_dypa,gpt2,job_7963211,8,2.0,6.0,300,16,4800,1037841200,2025-12-21T03:46:57.079518Z,0.15,end,300,0.91,0.8754578754578755,0.7966666666666666,0.6433333333333333,0.11,0.09333333333333334,1.0433333333333332,0.0,5.79596797647722
hi_dypa,gpt2,job_7963211,8,2.0,6.0,300,16,4800,1037841200,2025-12-21T03:46:57.079518Z,0.15,middle,300,0.9166666666666666,0.8690909090909091,0.7966666666666666,0.68,0.11333333333333333,0.09,0.9933333333333333,0.0,5.739317257470927
hi_dypa,gpt2,job_7963211,8,2.0,6.0,300,16,4800,1037841200,2025-12-21T03:46:57.079518Z,0.15,random,300,0.8633333333333333,0.6872586872586872,0.5933333333333334,0.38,0.26666666666666666,0.14,1.77,0.0,5.078888588042363
hi_dypa,gpt2,job_7963211,8,2.0,6.0,300,16,4800,1037841200,2025-12-21T03:46:57.079518Z,0.15,start,300,0.9433333333333334,0.8939929328621908,0.8433333333333334,0.74,0.09,0.06666666666666667,0.77,0.0,6.0936072684989195
hi_dypa,gpt2,job_7963211,8,2.0,6.0,300,16,4800,1037841200,2025-12-21T03:46:57.079518Z,0.2,end,300,0.9066666666666666,0.8161764705882353,0.74,0.56,0.15666666666666668,0.10333333333333333,1.2533333333333334,0.0,5.4672919665044155
hi_dypa,gpt2,job_7963211,8,2.0,6.0,300,16,4800,1037841200,2025-12-21T03:46:57.079518Z,0.2,middle,300,0.8866666666666667,0.8270676691729323,0.7333333333333333,0.5666666666666667,0.15,0.11666666666666667,1.2433333333333334,0.0,5.431391863683026
