scheme,model,run_tag,l_bits,group_bits,user_bits,num_prompts,num_attack_variants_per_prompt,total_attack_results,random_seed,generated_utc,0.05_full_identity_accuracy,0.05_group_accuracy,0.05_user_accuracy,0.05_false_positive_rate,0.1_full_identity_accuracy,0.1_group_accuracy,0.1_user_accuracy,0.1_false_positive_rate,0.15_full_identity_accuracy,0.15_group_accuracy,0.15_user_accuracy,0.15_false_positive_rate,0.2_full_identity_accuracy,0.2_group_accuracy,0.2_user_accuracy,0.2_false_positive_rate
hi_dypa,gpt2,job_7963207,8,1.0,7.0,300,16,4800,1017095704,2025-12-20T21:12:27.369409Z,0.7683333333333333,0.8758333333333332,0.8723827364769161,0.10583333333333333,0.64,0.7733333333333333,0.7481669521246228,0.13083333333333333,0.6091666666666666,0.7116666666666667,0.6776378569377037,0.08916666666666667,0.5933333333333334,0.6758333333333333,0.6707604987761867,0.07083333333333333
hi_dypa,gpt2,job_7963207,8,2.0,6.0,300,16,4800,1033597055,2025-12-21T01:44:13.645983Z,0.8158333333333333,0.9291666666666667,0.8758256690773667,0.1075,0.6933333333333334,0.8691666666666666,0.7540006706894702,0.16166666666666665,0.6491666666666667,0.7708333333333334,0.7044421935308613,0.09833333333333334,0.6308333333333334,0.7116666666666667,0.6923849571382706,0.06833333333333333
hi_dypa,gpt2,job_7963207,8,3.0,5.0,300,16,4800,1049903206,2025-12-21T06:18:02.264639Z,0.82,0.9375,0.8726180760560626,0.1275,0.7066666666666667,0.8716666666666667,0.7706609574030485,0.18916666666666668,0.6483333333333333,0.7733333333333333,0.7003998162927592,0.1175,0.6308333333333334,0.7225,0.6817838868003342,0.0825
hi_dypa,gpt2,job_7963207,8,4.0,4.0,300,16,4800,1066333655,2025-12-21T10:59:00.194957Z,0.8491666666666666,0.9,0.941837941565568,0.09,0.7191666666666667,0.8225,0.8241834284711769,0.19416666666666665,0.6691666666666667,0.7258333333333333,0.7575835441703563,0.10166666666666667,0.6491666666666667,0.6825,0.7195179747422902,0.06166666666666667
hi_dypa,gpt2,job_7963207,8,5.0,3.0,300,16,4800,1083191519,2025-12-21T15:30:04.112811Z,0.8200000000000001,0.8858333333333334,0.9229029025618533,0.09916666666666667,0.6875,0.7775,0.8261083486247255,0.17666666666666667,0.6391666666666667,0.695,0.757531911609834,0.10083333333333333,0.6208333333333333,0.6708333333333333,0.6983811860772458,0.07083333333333333
hi_dypa,gpt2,job_7963207,8,6.0,2.0,300,16,4800,1099453783,2025-12-21T20:09:12.338916Z,0.8766666666666667,0.9075,0.9643267702766493,0.06916666666666667,0.7408333333333333,0.7891666666666667,0.8915577215736873,0.14833333333333334,0.6825,0.7158333333333333,0.8092648640344139,0.08166666666666667,0.67,0.6933333333333334,0.72911037206402,0.0425
hi_dypa,gpt2,job_7963207,8,7.0,1.0,300,16,4800,1116203695,2025-12-22T00:44:22.685230Z,0.8391666666666666,0.875,0.9571051210991761,0.051666666666666666,0.6975,0.7366666666666667,0.8969251067211461,0.1125,0.6466666666666667,0.67,0.7614110460154574,0.06333333333333334,0.635,0.655,0.7297322288088361,0.04416666666666667
hi_dypa,gpt2,job_7963207,8,8.0,0.0,300,16,4800,1132714037,2025-12-22T05:19:22.004099Z,0.0,0.8691666666666666,0.0,0.0,0.0,0.7175,0.0,0.0,0.0,0.6675,0.0,0.0,0.0,0.6533333333333333,0.0,0.0
naive,gpt2,job_7963207,8,,,300,16,4800,1000012662,2025-12-20T16:37:21.980978Z,0.8441666666666667,,,0.125,0.7058333333333333,,,0.2475,0.6558333333333334,,,0.24083333333333332,0.6375,,,0.145
